Title,Author,RSS URL,Website URL,Description,Image URL,Active,Display Order,Last Fetched
"Three Ports in a Storm","M.T. Bade","https://feeds.redcircle.com/5af1a111-e948-475f-9f7d-913f572ddd88","https://redcircle.com/shows/3ports-in-a-storm","Matt (GreenWolf) is joined by fellow SCP Foundation and Third Law collaborators TyGently, ch00bakka, and tawny for a weekly roleplaying campaign in the weirdest city in the multiverse.Three Portlands is in crisis, and with the municipal government unable or unwilling to act, the task falls upon an unsanctioned paramilitary group funded by rogue Alderman Stephen McClure. Facing off against multinational corporations, organized crime, political cabals, labor cartels, religious cultists, and global conspiracies, this ragtag group of misfits and meddlers must try to save the Weird City, whether it likes it or not.","https://media.redcircle.com/images/2020/3/22/20/f8229d7a-fdaf-40ad-ba09-5fc1360fce27_cd14c1_07e81e13-aab8-4d5c-a49b-22b50f5c2223_98875e57-55f8-4725-a3da-50151ca2af61_d363fb7b-dc6f-4a76-b89f-e6ef8f65e1b2_b6fa52f9-1ac0-419e-ae8e-8672f2fe8ecf_c8e5145b-bf76-4456-a9ef-e10581d93106_blob.jpg",Yes,0,2025-12-06T03:29:28.641+00:00
"69 Whiskey","69 Whiskey Productions","https://feeds.buzzsprout.com/1420327.rss","https://69whiskey.buzzsprout.com","Military Veteran and self proclaimed ""Dollar Store Dom,"" Truth began 69 Whiskey as a college radio show on 107.7 The Bronc. A show once restrained by rules and boundaries is now coming straight to you as raw, and uncensored as ever. We've even earned ourselves an AVN Nomination for Favorite Adult Podcast! Along with Co-host, Cask Binder Tess and various guests of the 69 Whiskey Army, this dynamic group covers topics ranging from drink recipes, entertainment, and of course, your favorite positions ;)&nbsp;","https://storage.buzzsprout.com/epe456bdc920fuiu0omkrehfsgdb?.jpg",Yes,0,2025-12-06T03:29:30.83+00:00
"Rockin Twin Mom Life","Cassaundra Lorenzo","https://anchor.fm/s/4663f880/podcast/rss","https://rockintwinmomlife.blog/","Registered Nurse, military spouse, mother of twins, step mother, foster parent and dedicated to help others. Let’s challenge each other with living our best lives possible and not live a stagnant life with schedules and routines. In a time of covid 19 let’s get creative and share our experiences our ideas our adventures with each other so we all can live our mom/ smom and spouse life to the fullest while also ensuring our kids are living their life to the fullest. Life is short we could die tomorrow let’s do this with the help of each other and by educating each other with our experiences!","https://d3t3ozftmdmh3i.cloudfront.net/production/podcast_uploaded_nologo/11709568/11709568-1640591269917-9e24db2ab3802.jpg",Yes,0,2025-12-06T03:29:31.387+00:00
"The Debrief","97 AMW","https://feeds.acast.com/public/shows/620d17e21d517c001300fe1c","https://shows.acast.com/the-debrief","Welcome to the official podcast of the 97th Air Mobility Wing Command Team at Altus Air Force Base. We are your hosts: Col Blaine Baker and CMSgt Cesar Flores! In the tradition of military debriefs- a time-honored way to sit down as a team and analyze performance after a mission- we are going to look back into our own careers and break down moments that shaped us, things that got us through tough times and the lessons we learned along our combined 45 years of service. We will also tackle important topics ranging from leadership in a combat zone to how we can accelerate change to be ready for the future fight. But it won’t just be us! We will feature many exciting guests from all walks of military life that will join the conversation and share their stories as well. And guiding the whole way will be our trusty moderator and resident hockey expert, Airman Jancze!We look forward to taking this journey of reflection and discovery with you as we conduct “The Debrief.” Hosted on Acast. See a","https://assets.pippa.io/shows/620d17e21d517c001300fe1c/1645032201114-2355444df1d9fc5af77ecde10c7981d8.jpeg",Yes,0,2025-12-06T03:29:31.934+00:00
"Critical Alpha Methodology","Aaron Jones","https://anchor.fm/s/a7fb5714/podcast/rss","https://www.criticalalpha.com","The Critical Alpha Methodology helps veterans leverage their military experience for success in the civilian world.  Learn more at www.criticalalpha.com IG @criticalalphamethodology","https://d3t3ozftmdmh3i.cloudfront.net/production/podcast_uploaded_nologo/28082669/28082669-1681176769223-97d2dac949839.jpg",Yes,0,2025-12-06T03:29:36.131+00:00
"Aaron Pena’s Podcast","Aaron Pena","https://www.spreaker.com/show/4426291/episodes/feed","https://www.spreaker.com/show/aaron-penas-podcast","A place where we discuss current events, military service, the fight game and much more! Hope you enjoy!","https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/2d20f559847288c65659b539a3466e68.jpg",Yes,0,2025-12-06T03:29:36.73+00:00
"Positive Parenting for Military Families Archives - Mr. Dad","Armin Brott","https://mrdad.com/category/positiveparenting-afn/feed/","https://mrdad.com/category/positiveparenting-afn/","Parenting Resources and Advice for Expectant Fathers, New Dads, Dads of Teens, Single Dads","https://mrdad.com/wp-content/uploads/powerpress/PosParent_logo_square_-_3d_white.jpg",Yes,0,2025-12-06T03:29:39.942+00:00
"A Warrior’s Kidney Journey","Anthony Cartwright","https://feeds.buzzsprout.com/2065428.rss","http://www.awarriorskidneyjourney.com","I want to educate, inspire, and motivate individuals. I was injured in the military which eventually led to me being on dialysis for six years due to kidney failure. I eventually received a kidney transplant. I want to inform the community about ways to prevent having kidney issues. However, if they do encounter problems, I want to help them with their journey.&nbsp;","https://storage.buzzsprout.com/vyjtmxa1j0tdn553ryju8hje95iw?.jpg",Yes,0,2025-12-06T03:29:40.465+00:00
"Acknowledge 2 Action","Matthew Benko","https://anchor.fm/s/f2f9a89c/podcast/rss","https://acknowledge2action.com/","Welcome to the Acknowledge 2 Action podcast. The philosophy behind Acknowledge 2 Action is to Embrace the Journey through Acknowledging, Accepting, Processing, Planning and taking Action.   Acknowledge 2 Action shines a spotlight on the journeys of military service members (Active Duty, National Guard, and Reserves), along with their families and veterans. However, our discussions transcend military boundaries; they serve as a means of inspiration and empowerment for everyone.   Together, let’s Embrace the Journey of the human experience and emerge stronger, wiser, and more resilient.","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/40664479/40664479-1729334154972-bbf74175a35b1.jpg",Yes,0,2025-12-06T03:29:42.014+00:00
"Beyond Our Service","Steven B. and Brian S","https://feeds.captivate.fm/beyond-our-service-podcast/","http://www.beyondourservice.com","As two veteran fathers, we wanted to create a podcast that spoke to the average man in America. This podcast is a safe haven for free thoughts and ideas for real American’s with real American experiences who aren’t afraid to look at the good, bad, and ugly of life and stand up for what they believe in. So, we’ll talk about our military experiences, we’ll talk about life after our service. We will talk about our faith, politics, sports, being a father, a husband, our struggles, and our successes. But don’t worry, it’s not that serious of a podcast. We hope, in time, we can talk to you and whatever is on your mind. We welcome those with completely different views because we don’t know it all. In fact, listen to us long enough and you may come to realize we know absolutely nothing!!! But we hope you spend a little time each week laughing along with us as we go, Beyond Our Service.","https://artwork.captivate.fm/8ef2ed71-edb2-43ab-a76b-118768d5bd2d/TWS76nBB5pAInINXqMsD8GRq.jpg",Yes,0,2025-12-06T03:29:43.007+00:00
